X (m), Y (m), Z (m), Phase, Time
34.0653,26.392,9.07218,Search, 113.229000000
33.6908,27.3113,9.0736,Trail, 113.728000000
33.5118,27.74,9.07468,Trail, 114.228000000
33.0669,28.7024,9.08774,Trail, 114.728000000
32.2033,29.4079,9.16036,Trail, 115.728000000
31.6321,29.6726,9.21512,Trail, 116.228000000
31.3189,29.8059,9.24581,Trail, 116.728000000
28.3672,31.3349,9.55415,Trail, 118.233000000
28.8375,31.4409,9.41246,Search, 130.228000000
29.3347,31.1383,9.36446,Trail, 130.728000000
30.6399,30.3315,9.28165,Coarse, 131.229000000
30.9537,30.1241,9.26589,Coarse, 131.729000000
31.3614,29.8681,9.24186,Coarse, 132.228000000
31.4408,29.8096,9.22579,Coarse, 132.729000000
31.231,29.9188,9.23007,Coarse, 133.229000000
30.9189,30.1171,9.24651,Coarse, 133.729000000
30.5427,30.3786,9.27429,Coarse, 134.229000000
30.1255,30.6753,9.31173,Coarse, 134.729000000
29.8989,30.8284,9.33328,Coarse, 135.229000000
29.1231,31.2844,9.40737,Coarse, 135.728000000
28.828,31.4327,9.43462,Coarse, 136.229000000
24.2141,15.3778,9.07384,Search, 329.728000000
24.2141,15.3778,9.07384,Trail, 330.229000000
26.1847,16.2162,9.07262,Trail, 330.728000000
26.851,16.4999,9.07281,Trail, 331.228000000
29.8926,17.6802,9.10178,Trail, 333.228000000
29.7925,17.72,9.11251,Trail, 333.728000000
32.7718,29.0362,9.0752,Search, 496.729000000
32.8734,28.9137,9.07404,Trail, 497.235000000
32.8611,29.0667,9.07667,Coarse, 498.728000000
32.6694,29.2381,9.0929,Coarse, 499.228000000
32.3925,29.44,9.11744,Coarse, 499.728000000
32.0417,29.6677,9.15051,Coarse, 500.228000000
31.6257,29.9283,9.1917,Coarse, 500.728000000
32.7091,29.0691,9.06799,Search, 513.728000000
32.5958,29.0475,9.06738,Trail, 514.231000000
32.318,28.9394,9.06647,Trail, 514.729000000
31.9856,28.7645,9.06925,Trail, 515.229000000
31.6378,28.6479,9.08257,Trail, 515.730000000
36.3364,20.5746,9.07169,Search, 562.731000000
36.2485,20.6987,9.07129,Trail, 563.229000000
36.0715,21.0517,9.07127,Coarse, 563.728000000
35.9023,21.5319,9.08263,Coarse, 564.232000000
35.7193,22.1189,9.12094,Coarse, 564.728000000
35.5192,22.8101,9.18408,Coarse, 565.228000000
35.3016,23.587,9.26536,Coarse, 565.728000000
35.0592,24.448,9.35869,Coarse, 566.228000000
34.7885,25.3752,9.45917,Coarse, 566.728000000
34.4898,26.3659,9.56448,Coarse, 567.228000000
34.1614,27.4143,9.67284,Coarse, 567.728000000
16.2178,31.7083,9.07679,Search, 720.228000000
17.6971,32.3335,9.07679,Trail, 720.729000000
19.2067,32.9717,9.0767,Trail, 721.229000000
24.384,35.72,9.13716,Coarse, 725.228000000
24.2157,35.8742,9.15767,Coarse, 725.729000000
24.0397,36.0569,9.18048,Coarse, 726.229000000
23.6569,36.4974,9.23533,Coarse, 726.728000000
